V1,V2,V3
-136.526652026353,-8,-4409
-136.459972050309,-8,-4445
-136.393292074266,-8,-4539
-136.326612098223,-8,-4511
-136.25993212218,-8,-4352
-136.193252146137,-8,-4366
-136.126572170094,-8,-4407
-136.059892194051,-8,-4433
-135.993212218008,-8,-4466
-135.926532241964,-8,-4470
-135.859852265921,-8,-4471
-135.793172289878,-8,-4529
-135.726492313835,-8,-4509
-135.659812337792,-8,-4472
-135.593132361749,-8,-4486
-135.526452385706,-8,-4450
-135.459772409663,-8,-4475
-135.393092433619,-8,-4538
-135.326412457576,-8,-4562
-135.259732481533,-8,-4535
-135.19305250549,-8,-4473
-135.126372529447,-8,-4499
-135.059692553404,-8,-4544
-134.993012577361,-8,-4491
-134.926332601318,-8,-4431
-134.859652625275,-8,-4544
-134.792972649231,-8,-4614
-134.726292673188,-8,-4699
-134.659612697145,-8,-4670
-134.592932721102,-8,-4521
-134.526252745059,-8,-4554
-134.459572769016,-8,-4718
-134.392892792973,-8,-4722
-134.32621281693,-8,-4572
-134.259532840886,-8,-4549
-134.192852864843,-8,-4745
-134.1261728888,-8,-4752
-134.059492912757,-8,-4607
-133.992812936714,-8,-4606
-133.926132960671,-8,-4603
-133.859452984628,-8,-4538
-133.792773008585,-8,-4622
-133.726093032541,-8,-4695
-133.659413056498,-8,-4602
-133.592733080455,-8,-4516
-133.526053104412,-8,-4628
-133.459373128369,-8,-4790
-133.392693152326,-8,-4787
-133.326013176283,-8,-4669
-133.25933320024,-8,-4691
-133.192653224196,-8,-4826
-133.125973248153,-8,-4723
-133.05929327211,-8,-4661
-132.992613296067,-8,-4824
-132.925933320024,-8,-4820
-132.859253343981,-8,-4724
-132.792573367938,-8,-4810
-132.725893391895,-8,-4858
-132.659213415851,-8,-4739
-132.592533439808,-8,-4649
-132.525853463765,-8,-4656
-132.459173487722,-8,-4706
-132.392493511679,-8,-4656
-132.325813535636,-8,-4705
-132.259133559593,-8,-4735
-132.19245358355,-8,-4634
-132.125773607506,-8,-4558
-132.059093631463,-8,-4548
-131.99241365542,-8,-4573
-131.925733679377,-8,-4597
-131.859053703334,-8,-4580
-131.792373727291,-8,-4598
-131.725693751248,-8,-4589
-131.659013775205,-8,-4619
-131.592333799162,-8,-4672
-131.525653823118,-8,-4604
-131.458973847075,-8,-4516
-131.392293871032,-8,-4518
-131.325613894989,-8,-4670
-131.258933918946,-8,-4757
-131.192253942903,-8,-4670
-131.12557396686,-8,-4587
-131.058893990817,-8,-4593
-130.992214014773,-8,-4677
-130.92553403873,-8,-4742
-130.858854062687,-8,-4674
-130.792174086644,-8,-4650
-130.725494110601,-8,-4591
-130.658814134558,-8,-4561
-130.592134158515,-8,-4631
-130.525454182472,-8,-4705
-130.458774206428,-8,-4679
-130.392094230385,-8,-4628
-130.325414254342,-8,-4644
-130.258734278299,-8,-4595
-130.192054302256,-8,-4579
-130.125374326213,-8,-4591
-130.05869435017,-8,-4554
-129.992014374127,-8,-4592
-129.925334398083,-8,-4707
-129.85865442204,-8,-4707
-129.791974445997,-8,-4704
-129.725294469954,-8,-4707
-129.658614493911,-8,-4621
-129.591934517868,-8,-4617
-129.525254541825,-8,-4633
-129.458574565782,-8,-4630
-129.391894589738,-8,-4639
-129.325214613695,-8,-4558
-129.258534637652,-8,-4544
-129.191854661609,-8,-4552
-129.125174685566,-8,-4499
-129.058494709523,-8,-4400
-128.99181473348,-8,-4274
-128.925134757437,-8,-4262
-128.858454781394,-8,-4355
-128.79177480535,-8,-4409
-128.725094829307,-8,-4338
-128.658414853264,-8,-4359
-128.591734877221,-8,-4467
-128.525054901178,-8,-4464
-128.458374925135,-8,-4528
-128.391694949092,-8,-4543
-128.325014973048,-8,-4399
